date,temperature,humidity,luminosity
2022-11-17 15:35:15.116,25.1,9.5,54
2022-11-17 15:35:13.473,25.1,9.7,54
2022-11-17 15:35:11.829,25.1,9.7,54
2022-11-17 15:35:10.185,25.1,9.7,53
2022-11-17 15:35:08.543,25.1,9.9,53
2022-11-17 15:35:06.899,25.1,9.9,54
2022-11-17 15:35:05.256,25.1,9.9,54
2022-11-17 15:35:03.612,25.1,10.1,54
2022-11-17 15:35:01.968,25.1,10.2,54
2022-11-17 15:35:00.324,25.1,10.2,54
2022-11-17 15:34:58.681,25.1,10.2,53
2022-11-17 15:34:57.038,25.1,10.3,54
2022-11-17 15:34:55.394,25.1,10.2,54
2022-11-17 15:34:53.750,25.1,10.1,53
2022-11-17 15:34:52.107,25.1,10.2,54
2022-11-17 15:34:50.462,25.1,10.1,54
2022-11-17 15:34:48.818,25.1,10.1,54
2022-11-17 15:34:47.174,25.1,10.3,54
2022-11-17 15:34:45.531,25.1,10.2,54
2022-11-17 15:34:43.887,25.1,10.3,53
2022-11-17 15:34:42.244,25.1,10.0,54
2022-11-17 15:34:40.600,25.1,10.3,53
2022-11-17 15:34:38.957,25.1,10.3,54
2022-11-17 15:34:37.313,25.1,10.3,54
2022-11-17 15:34:35.670,25.1,10.2,54
2022-11-17 15:34:34.027,25.1,10.0,54
2022-11-17 15:34:32.383,25.1,10.3,54
2022-11-17 15:34:30.739,25.1,10.1,54
2022-11-17 15:34:29.096,25.1,10.3,53
2022-11-17 15:34:27.452,25.1,10.3,54
2022-11-17 15:34:25.809,25.1,10.2,53
2022-11-17 15:34:24.165,25.1,10.0,53
2022-11-17 15:34:22.521,25.1,10.3,54
2022-11-17 15:34:20.878,25.1,10.3,53
2022-11-17 15:34:19.235,25.1,10.4,52
2022-11-17 15:34:17.593,25.1,10.2,51
2022-11-17 15:34:15.950,25.1,10.2,51
2022-11-17 15:34:14.307,25.1,10.2,52
2022-11-17 15:34:12.663,25.1,10.3,35
2022-11-17 15:34:11.020,25.1,10.3,34
2022-11-17 15:34:09.378,25.1,10.5,52
2022-11-17 15:34:07.735,25.1,10.3,52
2022-11-17 15:34:06.091,25.1,10.3,52
2022-11-17 15:34:04.448,25.1,10.2,50
2022-11-17 15:34:02.804,25.1,10.4,50
2022-11-17 15:34:01.162,25.1,10.2,50
2022-11-17 15:33:59.519,25.1,10.3,50
2022-11-17 15:33:57.875,25.1,10.3,52
2022-11-17 15:33:56.232,25.1,10.2,52
2022-11-17 15:33:54.588,25.1,10.3,52
2022-11-17 15:33:52.945,25.1,10.1,52
2022-11-17 15:33:51.302,25.1,10.1,51
2022-11-17 15:33:49.658,25.0,10.1,50
2022-11-17 15:33:48.015,25.1,10.2,50
2022-11-17 15:33:46.372,25.1,10.0,52
2022-11-17 15:33:44.728,25.1,9.9,54
2022-11-17 15:33:43.085,25.1,9.8,53
2022-11-17 15:33:41.441,25.1,9.8,54
2022-11-17 15:33:39.797,25.1,9.8,53
2022-11-17 15:33:38.153,25.1,9.5,53
2022-11-17 15:33:36.510,25.1,9.6,53
2022-11-17 15:33:34.867,25.1,9.5,52
2022-11-17 15:33:33.223,25.1,9.4,53
2022-11-17 15:33:31.580,25.1,9.5,53
2022-11-17 15:33:29.936,25.1,9.3,52
2022-11-17 15:33:28.292,25.1,9.4,52
2022-11-17 15:33:26.649,25.1,9.2,53
2022-11-17 15:33:25.007,25.1,9.3,53
2022-11-17 15:33:23.364,25.1,9.3,53
2022-11-17 15:33:21.720,25.1,9.3,52
2022-11-17 15:33:20.076,25.1,9.2,53
2022-11-17 15:33:18.432,25.1,9.3,53
2022-11-17 15:33:16.789,25.1,9.4,53
2022-11-17 15:33:15.145,25.1,9.3,53
2022-11-17 15:33:13.501,25.1,9.3,53
2022-11-17 15:33:11.858,25.1,9.4,53
2022-11-17 15:33:10.215,25.1,9.4,53
2022-11-17 15:33:08.572,25.1,9.5,53
2022-11-17 15:33:06.928,25.1,9.5,52
2022-11-17 15:33:05.284,25.1,9.6,52
2022-11-17 15:33:03.640,25.1,9.6,52
2022-11-17 15:33:01.996,25.1,9.7,52
2022-11-17 15:33:00.352,25.1,9.8,53
2022-11-17 15:32:58.709,25.1,9.7,54
2022-11-17 15:32:57.066,25.1,9.9,54
2022-11-17 15:32:55.422,25.1,10.0,54
2022-11-17 15:32:53.779,25.1,9.9,55
2022-11-17 15:32:52.137,25.1,10.0,54
2022-11-17 15:32:50.493,25.1,10.1,54
2022-11-17 15:32:48.848,25.1,10.2,54
2022-11-17 15:32:47.204,25.1,10.2,54
2022-11-17 15:32:45.560,25.1,10.1,54
2022-11-17 15:32:43.917,25.1,10.3,54
2022-11-17 15:32:42.273,25.1,10.5,55
2022-11-17 15:32:40.629,25.1,10.2,54
